0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:12:26 +0530] "GET /CyberSecuritySecond/login.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:12:33 +0530] "POST /CyberSecuritySecond/log HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:12:33 +0530] "GET /CyberSecuritySecond/home.jsp?login=success HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:12:35 +0530] "GET /CyberSecuritySecond/images/tooplate_gototop.png HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:15:40 +0530] "GET /CyberSecuritySecond/home.jsp HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:15:44 +0530] "GET /CyberSecuritySecond/AdminLogin.jsp HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:15:53 +0530] "POST /CyberSecuritySecond/adminlog HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:15:53 +0530] "GET /CyberSecuritySecond/adminhome.jsp?success HTTP/1.1" 200 4103
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:16:09 +0530] "GET /CyberSecuritySecond/sent.jsp HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:16:32 +0530] "GET /CyberSecuritySecond/Filter HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:16:32 +0530] "GET /CyberSecuritySecond/singature_detection.jsp?filtered= HTTP/1.1" 404 1037
