127.0.0.1 - - [27/Feb/2019:13:34:11 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:27 +0530] "GET /CyberSecuritySecond/ HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:33 +0530] "GET /CyberSecuritySecond/tooplate_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:33 +0530] "GET /CyberSecuritySecond/js/ddsmoothmenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:33 +0530] "GET /CyberSecuritySecond/css/ddsmoothmenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:33 +0530] "GET /CyberSecuritySecond/css/slimbox2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:33 +0530] "GET /CyberSecuritySecond/js/slimbox2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:33 +0530] "GET /CyberSecuritySecond/css/nivo-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:33 +0530] "GET /CyberSecuritySecond/js/jquery-1.6.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:33 +0530] "GET /CyberSecuritySecond/js/jquery-1.6.3.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:33 +0530] "GET /CyberSecuritySecond/js/jquery-1.6.3.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:34 +0530] "GET /CyberSecuritySecond/images/tooplate_wrapper.png HTTP/1.1" 200 28100
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:34 +0530] "GET /CyberSecuritySecond/images/tooplate_wt.png HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:34 +0530] "GET /CyberSecuritySecond/images/tooplate_wm.png HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:34 +0530] "GET /CyberSecuritySecond/images/tooplate_wb.png HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:34 +0530] "GET /CyberSecuritySecond/images/tooplate_menu_hover.png HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:34 +0530] "GET /CyberSecuritySecond/images/tooplate_slider_frame.png HTTP/1.1" 200 10172
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:34 +0530] "GET /CyberSecuritySecond/images/tooplate_menu.png HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:34 +0530] "GET /CyberSecuritySecond/images/tooplate_body.png HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:34 +0530] "GET /CyberSecuritySecond/images/slider/02-intruder_detection.jpg HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:34 +0530] "GET /CyberSecuritySecond/js/scroll-startstop.events.jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:34 +0530] "GET /CyberSecuritySecond/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:35 +0530] "GET /CyberSecuritySecond/images/tooplate_hr.png HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:35 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/register.jsp HTTP/1.1" 200 9434
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/jquery.datepick.css HTTP/1.1" 200 4421
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/jquery.plugin.js HTTP/1.1" 200 11513
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/jquery.datepick.js HTTP/1.1" 200 96238
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/images/people.png HTTP/1.1" 200 17410
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/images/reset.png HTTP/1.1" 200 18757
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/images/tooplate_body.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/images/tooplate_wrapper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/images/tooplate_wm.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/images/tooplate_wt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/images/tooplate_wb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/images/tooplate_menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:34:38 +0530] "GET /CyberSecuritySecond/images/tooplate_menu_hover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2019:13:35:33 +0530] "POST /CyberSecuritySecond/reg HTTP/1.1" 302 -
